ID,Roaming,International,Local,Dropped,Paymethod,LocalPlan,RoamingPlan,Sex,Status,Children,Est_Income,Car_Owner,Usage,Age,Overall Satisfaction,Churn
1,23.560000,0.000000,206.080000,0,CC,Budget,Intnl_discount,F,S,1,38000.000000,N,229.640000,24.393333,3,Current
6,29.780000,0.000000,45.500000,0,CH,FreeLocal,Standard,M,M,2,29616.000000,N,75.290000,49.426667,2,Current
8,24.810000,0.000000,22.440000,0,CC,FreeLocal,Standard,M,M,0,19732.800000,N,47.250000,50.673333,3,Current
11,26.130000,0.000000,32.880000,1,CC,Budget,Standard,M,S,2,96.330000,N,59.010000,56.473333,1,Current
14,5.030000,0.000000,23.110000,0,CH,Budget,Intnl_discount,F,M,2,52004.800000,N,28.140000,25.140000,1,Vol
17,12.450000,0.000000,46.420000,4,CC,FreeLocal,Standard,M,M,2,53010.800000,N,58.870000,18.840000,1,Current
18,26.520000,0.000000,32.190000,0,CC,Budget,Intnl_discount,M,M,1,75004.500000,N,58.720000,64.800000,1,Vol
21,20.220000,0.000000,13.940000,0,CC,Budget,Standard,M,M,0,19749.300000,N,34.170000,60.366667,3,Current
22,9.380000,0.000000,38.960000,0,CC,Budget,Standard,M,S,1,57626.900000,Y,48.350000,43.906667,2,Current
23,9.650000,0.000000,6.330000,0,CC,Budget,Intnl_discount,M,M,2,20078.000000,N,15.980000,32.846667,4,Current
24,17.440000,4.940000,49.920000,1,Auto,FreeLocal,Standard,F,M,2,47902.000000,N,72.310000,26.033333,2,Current
29,22.390000,0.000000,178.360000,0,CC,Budget,Standard,M,M,1,7545.960000,Y,200.750000,16.753333,3,Vol
35,0.370000,0.000000,28.660000,0,CC,FreeLocal,Standard,F,S,0,78851.300000,N,29.040000,48.373333,4,Vol
36,22.170000,0.570000,13.450000,0,Auto,Budget,Standard,F,S,1,17540.700000,Y,36.200000,62.786667,4,Vol
37,28.920000,0.000000,45.470000,0,CH,Budget,Standard,F,M,0,83891.900000,Y,74.400000,61.020000,4,Vol
38,26.490000,0.000000,12.460000,0,CC,FreeLocal,Standard,F,M,2,28220.800000,N,38.950000,38.766667,4,Current
40,13.190000,0.000000,87.090000,0,CC,FreeLocal,Standard,F,S,0,28589.100000,N,100.280000,15.600000,4,Vol
42,13.320000,8.050000,56.640000,0,CC,Budget,Standard,F,M,2,5237.630000,N,78.020000,48.753333,2,Current
45,11.540000,1.610000,22.900000,0,CC,FreeLocal,Standard,M,S,2,89459.900000,N,36.050000,53.280000,2,Vol
48,14.830000,0.000000,25.660000,0,CC,Budget,Standard,F,S,1,13576.500000,N,40.490000,39.426667,1,Vol
52,4.790000,0.500000,91.040000,1,CC,Budget,Standard,F,M,2,67388.000000,N,96.330000,53.120000,3,Vol
53,16.790000,0.000000,81.300000,0,CH,Budget,Standard,F,M,1,57063.000000,Y,98.100000,52.333333,4,Current
54,3.280000,0.000000,11.740000,1,CC,Budget,Standard,F,M,2,84166.100000,N,15.020000,54.013333,2,Vol
60,11.050000,0.000000,50.840000,0,CC,FreeLocal,Standard,F,S,1,7737.940000,N,61.900000,42.666667,4,Current
61,21.370000,0.000000,293.240000,0,CH,Budget,Standard,M,S,2,100020.000000,N,314.620000,50.000000,4,Vol
62,0.000000,0.000000,2.970000,0,CC,Budget,Standard,F,M,2,45287.600000,Y,2.970000,29.026667,3,Current
63,12.370000,0.000000,163.410000,0,CC,Budget,Intnl_discount,F,M,2,59613.100000,N,175.780000,34.320000,1,Vol
65,0.000000,0.000000,1.340000,0,CC,FreeLocal,Intnl_discount,F,S,1,16326.700000,N,1.340000,50.613333,1,Vol
68,18.310000,0.000000,59.590000,0,CC,FreeLocal,Standard,F,S,2,9559.780000,N,77.910000,51.380000,3,Current
71,20.450000,0.000000,39.330000,0,CH,Budget,Intnl_discount,F,M,2,42031.800000,N,59.780000,50.753333,4,Current
73,26.910000,0.000000,9.040000,0,Auto,FreeLocal,Intnl_discount,F,M,2,83284.100000,Y,35.960000,28.420000,4,Current
74,28.820000,4.740000,13.530000,0,CC,Budget,Intnl_discount,M,M,1,39229.100000,N,47.100000,26.260000,4,Current
75,23.760000,0.000000,50.050000,0,Auto,FreeLocal,Standard,F,S,0,68427.400000,N,73.810000,42.393333,3,Vol
77,9.570000,4.190000,111.840000,0,Auto,Budget,Intnl_discount,M,S,0,3601.710000,N,125.600000,49.266667,4,Vol
78,18.660000,0.000000,20.340000,0,CH,FreeLocal,Intnl_discount,F,M,0,72642.600000,N,39.000000,27.646667,4,Current
79,20.970000,8.230000,13.920000,0,CC,FreeLocal,Standard,F,S,0,98716.300000,N,43.130000,55.660000,4,Vol
80,11.700000,0.000000,47.170000,0,Auto,Budget,Standard,F,S,2,66182.700000,Y,58.870000,62.480000,2,Current
81,14.220000,8.800000,10.450000,0,CH,FreeLocal,Standard,F,M,2,84789.300000,N,33.470000,50.433333,4,Current
83,18.850000,0.000000,31.780000,0,Auto,FreeLocal,Intnl_discount,F,M,2,35976.500000,Y,50.630000,48.853333,4,Vol
84,16.800000,0.000000,56.090000,0,CC,Budget,Intnl_discount,F,M,0,32703.100000,Y,72.890000,64.920000,4,Current
85,24.770000,0.000000,20.070000,0,CH,FreeLocal,Intnl_discount,F,M,1,77129.100000,Y,44.850000,61.846667,4,Vol
86,15.590000,0.000000,24.190000,0,CH,FreeLocal,Standard,F,M,2,8204.720000,N,39.790000,52.973333,3,Current
87,8.210000,9.630000,45.660000,0,CC,FreeLocal,Standard,M,M,1,97180.400000,N,63.510000,50.600000,4,Current
88,2.910000,8.950000,17.110000,0,CC,FreeLocal,Standard,F,M,0,80405.100000,N,28.980000,60.226667,4,Vol
89,11.640000,0.000000,74.970000,0,Auto,FreeLocal,Intnl_discount,F,S,2,38280.000000,N,86.610000,33.740000,4,Vol
90,16.210000,1.000000,125.150000,0,CC,FreeLocal,Intnl_discount,M,S,0,64136.600000,Y,142.370000,61.106667,2,Vol
92,24.700000,0.000000,73.040000,0,CH,FreeLocal,Standard,F,M,2,45429.700000,Y,97.740000,61.713333,2,Vol
94,9.370000,0.000000,11.930000,0,CC,FreeLocal,Standard,F,S,0,25285.500000,N,21.300000,53.986667,1,Current
95,20.530000,0.000000,41.890000,1,CC,Budget,Intnl_discount,F,M,2,77551.100000,Y,62.420000,33.600000,2,Vol
96,22.860000,8.320000,16.480000,0,CC,FreeLocal,Standard,F,M,0,38538.400000,N,47.660000,12.326667,3,Current
97,1.900000,0.000000,25.950000,0,CC,FreeLocal,Standard,F,S,0,69350.500000,Y,27.860000,57.420000,4,Current
104,29.440000,9.420000,104.640000,0,CC,Budget,Standard,M,S,2,43634.500000,N,143.500000,21.780000,1,Current
108,22.380000,0.000000,40.480000,0,Auto,Budget,Standard,F,S,1,13109.100000,N,62.870000,62.606667,1,Vol
109,16.040000,5.740000,10.340000,0,CC,Budget,Standard,M,S,1,92647.500000,N,32.130000,56.046667,4,Vol
110,1.000000,0.000000,11.190000,0,CC,Budget,Standard,F,S,2,21021.600000,Y,14.950000,62.753333,3,Vol
111,25.530000,0.990000,179.930000,0,CC,FreeLocal,Standard,M,S,0,74460.700000,Y,206.460000,55.340000,2,Current
114,27.970000,0.000000,58.090000,0,Auto,Budget,Standard,F,S,2,28787.400000,N,86.060000,41.666667,2,Vol
117,22.790000,0.000000,20.260000,0,CC,Budget,Intnl_discount,M,M,1,13091.600000,N,43.060000,59.126667,2,Current
120,29.860000,0.000000,52.220000,0,Auto,FreeLocal,Standard,F,M,2,62061.800000,Y,82.080000,45.920000,2,Current
121,27.720000,0.860000,57.060000,0,CC,Budget,Standard,F,M,1,20550.900000,Y,85.640000,22.120000,3,Vol
124,3.040000,0.000000,44.950000,0,CC,FreeLocal,Standard,M,M,2,1765.410000,N,47.990000,18.766667,4,Current
127,22.150000,0.000000,34.910000,0,Auto,Budget,Standard,F,S,2,19131.100000,N,57.070000,56.186667,2,Current
130,0.000000,0.000000,3.200000,0,CC,Budget,Standard,F,S,2,83073.700000,N,3.200000,39.553333,4,Current
133,20.590000,1.970000,112.400000,0,Auto,Budget,Intnl_discount,M,M,2,42750.300000,Y,134.970000,50.493333,1,Current
135,0.000000,0.000000,0.790000,0,Auto,Budget,Intnl_discount,F,S,2,2842.550000,N,0.790000,45.920000,2,Vol
136,15.540000,1.520000,12.190000,0,CC,Budget,Standard,M,M,2,22358.100000,N,29.250000,52.626667,1,Current
138,2.000000,1.170000,12.480000,0,CC,FreeLocal,Standard,M,M,0,47870.800000,Y,13.820000,27.260000,2,Current
139,22.660000,0.000000,27.200000,0,CH,Budget,Standard,F,S,2,6440.460000,Y,49.860000,52.646667,1,Vol
140,28.520000,0.000000,161.540000,0,CC,FreeLocal,Intnl_discount,F,S,0,7325.500000,N,190.060000,36.920000,2,Current
142,6.110000,0.000000,58.080000,0,CC,Budget,Standard,M,M,2,28766.900000,N,64.200000,46.840000,1,Current
148,26.990000,0.000000,13.010000,0,CC,FreeLocal,Standard,M,M,2,91272.200000,Y,40.000000,25.033333,3,Vol
154,11.630000,9.700000,115.660000,1,Auto,FreeLocal,Intnl_discount,M,S,0,65000.000000,Y,137.000000,45.653333,4,Current
158,11.550000,0.000000,15.170000,0,CC,Budget,Standard,M,M,2,1406.050000,Y,26.720000,19.306667,1,Current
160,22.470000,0.000000,28.110000,0,Auto,Budget,Standard,F,S,0,73228.300000,N,50.580000,62.000000,4,Current
161,2.010000,0.000000,150.750000,0,Auto,FreeLocal,Standard,F,S,2,76231.900000,N,152.760000,63.806667,2,Vol
166,13.050000,1.510000,36.840000,0,CH,FreeLocal,Standard,M,M,1,64792.300000,N,51.410000,52.146667,3,Current
169,29.920000,0.000000,8.790000,0,CH,Budget,Intnl_discount,F,S,0,93322.100000,Y,38.720000,40.313333,1,Current
174,0.680000,3.350000,10.940000,0,CC,Budget,Intnl_discount,M,M,1,63437.300000,N,14.980000,63.653333,4,Current
178,27.420000,0.000000,23.720000,0,CC,Budget,Standard,M,M,2,49910.700000,Y,51.140000,51.520000,3,Current
180,11.960000,0.000000,25.580000,0,CC,FreeLocal,Standard,M,M,0,76161.400000,Y,37.550000,44.573333,4,Current
181,16.010000,0.000000,10.350000,0,CC,FreeLocal,Intnl_discount,F,M,2,55860.000000,Y,26.370000,14.573333,3,Current
182,23.230000,0.000000,80.640000,0,Auto,Budget,Standard,F,S,1,12686.000000,N,103.880000,64.800000,2,Current
190,10.360000,0.000000,57.250000,0,CC,FreeLocal,Standard,M,M,2,57360.800000,Y,67.610000,53.253333,1,Current
191,29.430000,0.000000,10.620000,0,CC,FreeLocal,Standard,M,M,0,92414.700000,Y,40.060000,45.513333,4,Vol
192,9.840000,0.000000,62.440000,1,CH,FreeLocal,Standard,M,M,1,60102.700000,N,72.290000,42.140000,3,Current
194,29.410000,0.000000,332.460000,0,CC,Budget,Standard,F,M,2,17888.700000,N,361.880000,55.000000,1,Current
195,11.720000,0.000000,28.860000,0,CC,FreeLocal,Intnl_discount,F,S,1,12526.300000,N,40.590000,53.553333,2,Vol
198,11.910000,0.000000,95.100000,0,Auto,Budget,Standard,F,S,2,14578.800000,Y,107.020000,60.933333,1,Current
201,21.810000,0.000000,29.280000,1,CC,FreeLocal,Standard,M,M,0,78572.200000,Y,51.090000,42.346667,4,Current
203,23.280000,0.000000,168.030000,0,CC,FreeLocal,Standard,F,M,2,48238.800000,N,191.320000,34.706667,4,Vol
205,27.990000,5.320000,16.270000,0,CH,FreeLocal,Standard,F,M,0,28770.900000,N,49.600000,12.340000,4,Current
206,0.290000,0.000000,22.150000,0,CC,Budget,Standard,F,M,2,87578.200000,Y,22.440000,53.366667,1,Current
207,25.940000,0.000000,32.090000,0,CC,FreeLocal,Standard,F,M,2,86695.400000,N,58.030000,13.906667,2,Current
209,20.710000,0.000000,23.000000,0,CC,Budget,Intnl_discount,F,S,2,76791.200000,N,43.710000,61.000000,4,Current
213,21.320000,0.000000,35.850000,0,CC,Budget,Standard,F,D,0,30763.800000,Y,57.170000,14.193333,4,Vol
214,4.190000,0.000000,114.620000,1,CH,Budget,Standard,F,M,2,3193.600000,N,118.820000,54.046667,3,Current
215,7.670000,0.000000,32.120000,0,CC,FreeLocal,Intnl_discount,M,M,1,69680.900000,N,39.800000,15.846667,2,Current
218,29.640000,0.000000,90.180000,4,Auto,FreeLocal,Intnl_discount,F,M,0,83287.000000,N,119.820000,45.486667,3,Vol
219,24.070000,6.980000,27.750000,0,Auto,Budget,Standard,M,S,0,2056.060000,Y,58.800000,18.940000,2,Vol
220,25.870000,0.000000,68.330000,0,CC,FreeLocal,Standard,F,M,2,7776.600000,N,94.200000,35.706667,4,Current
221,15.250000,0.000000,70.650000,0,CC,Budget,Intnl_discount,M,M,1,2067.820000,N,85.900000,47.853333,4,Current
222,4.580000,7.660000,8.490000,0,CH,Budget,Standard,M,S,0,66666.000000,N,20.740000,52.000000,1,Current
224,6.360000,0.000000,15.540000,0,CC,FreeLocal,Standard,F,M,2,69343.300000,N,21.910000,42.166667,2,Vol
225,0.570000,0.000000,23.890000,2,Auto,Budget,Standard,F,M,0,77000.000000,N,24.460000,55.000000,4,Vol
228,4.910000,0.000000,6.500000,0,CC,Budget,Intnl_discount,F,M,0,14932.500000,N,11.420000,52.000000,1,Current
229,2.200000,0.000000,9.880000,0,CC,Budget,Intnl_discount,F,S,0,27498.100000,N,12.080000,42.000000,4,Vol
